Piloto,Equipe,Corrida,Circuito,Ano,Vitorias
senna,Team Lotus,Belgian Grand Prix,Circuit de Spa-Francorchamps,1985,1
senna,Team Lotus,Portuguese Grand Prix,Autódromo do Estoril,1985,1
senna,Team Lotus,Spanish Grand Prix,Circuito de Jerez,1986,1
senna,Team Lotus,Detroit Grand Prix,Detroit Street Circuit,1986,1
senna,Team Lotus,Monaco Grand Prix,Circuit de Monaco,1987,1
senna,Team Lotus,Detroit Grand Prix,Detroit Street Circuit,1987,1
senna,McLaren,Hungarian Grand Prix,Hungaroring,1988,1
senna,McLaren,Canadian Grand Prix,Circuit Gilles Villeneuve,1988,1
senna,McLaren,Detroit Grand Prix,Detroit Street Circuit,1988,1
senna,McLaren,British Grand Prix,Silverstone Circuit,1988,1
senna,McLaren,Japanese Grand Prix,Suzuka Circuit,1988,1
senna,McLaren,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,1988,1
senna,McLaren,German Grand Prix,Hockenheimring,1988,1
senna,McLaren,Belgian Grand Prix,Circuit de Spa-Francorchamps,1988,1
senna,McLaren,Spanish Grand Prix,Circuito de Jerez,1989,1
senna,McLaren,German Grand Prix,Hockenheimring,1989,1
senna,McLaren,Monaco Grand Prix,Circuit de Monaco,1989,1
senna,McLaren,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,1989,1
senna,McLaren,Belgian Grand Prix,Circuit de Spa-Francorchamps,1989,1
senna,McLaren,Mexican Grand Prix,Autódromo Hermanos Rodríguez,1989,1
senna,McLaren,United States Grand Prix,Phoenix street circuit,1990,1
senna,McLaren,Monaco Grand Prix,Circuit de Monaco,1990,1
senna,McLaren,Italian Grand Prix,Autodromo Nazionale di Monza,1990,1
senna,McLaren,Belgian Grand Prix,Circuit de Spa-Francorchamps,1990,1
senna,McLaren,German Grand Prix,Hockenheimring,1990,1
senna,McLaren,Canadian Grand Prix,Circuit Gilles Villeneuve,1990,1
senna,McLaren,Australian Grand Prix,Adelaide Street Circuit,1991,1
senna,McLaren,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,1991,1
senna,McLaren,Hungarian Grand Prix,Hungaroring,1991,1
senna,McLaren,United States Grand Prix,Phoenix street circuit,1991,1
senna,McLaren,Belgian Grand Prix,Circuit de Spa-Francorchamps,1991,1
senna,McLaren,Brazilian Grand Prix,Autódromo José Carlos Pace,1991,1
senna,McLaren,Monaco Grand Prix,Circuit de Monaco,1991,1
senna,McLaren,Hungarian Grand Prix,Hungaroring,1992,1
senna,McLaren,Italian Grand Prix,Autodromo Nazionale di Monza,1992,1
senna,McLaren,Monaco Grand Prix,Circuit de Monaco,1992,1
senna,McLaren,Japanese Grand Prix,Suzuka Circuit,1993,1
senna,McLaren,Monaco Grand Prix,Circuit de Monaco,1993,1
senna,McLaren,Australian Grand Prix,Adelaide Street Circuit,1993,1
senna,McLaren,European Grand Prix,Donington Park,1993,1
senna,McLaren,Brazilian Grand Prix,Autódromo José Carlos Pace,1993,1
