Piloto,Ano,Vitorias
alboreto,1982,1
alboreto,1983,1
alboreto,1984,1
alboreto,1985,2
alesi,1995,1
alonso,2003,1
alonso,2005,7
alonso,2006,7
alonso,2007,4
alonso,2008,2
alonso,2010,5
alonso,2011,1
alonso,2012,3
alonso,2013,2
angelis,1982,1
angelis,1985,1
arnoux,1980,2
arnoux,1982,2
arnoux,1983,3
ascari,1951,2
ascari,1952,6
ascari,1953,5
baghetti,1961,1
bandini,1964,1
barrichello,2000,1
barrichello,2002,4
barrichello,2003,2
barrichello,2004,2
barrichello,2009,2
beltoise,1972,1
berger,1986,1
berger,1987,2
berger,1988,1
berger,1989,1
berger,1991,1
berger,1992,2
berger,1994,1
berger,1997,1
bonnier,1959,1
bottas,2017,3
bottas,2019,4
bottas,2020,2
bottas,2021,1
boutsen,1989,2
boutsen,1990,1
brambilla,1975,1
brooks,1957,1
brooks,1958,3
brooks,1959,2
bryan,1958,1
button,2006,1
button,2009,6
button,2010,2
button,2011,3
button,2012,3
cevert,1971,1
clark,1962,3
clark,1963,7
clark,1964,3
clark,1965,6
clark,1966,1
clark,1967,4
clark,1968,1
collins,1956,2
collins,1958,1
coulthard,1995,1
coulthard,1997,2
coulthard,1998,1
coulthard,1999,2
coulthard,2000,3
coulthard,2001,2
coulthard,2002,1
coulthard,2003,1
damon_hill,1993,3
damon_hill,1994,6
damon_hill,1995,4
damon_hill,1996,8
damon_hill,1998,1
depailler,1978,1
depailler,1979,1
emerson_fittipaldi,1970,1
emerson_fittipaldi,1972,5
emerson_fittipaldi,1973,3
emerson_fittipaldi,1974,3
emerson_fittipaldi,1975,2
fagioli,1951,1
fangio,1950,3
fangio,1951,3
fangio,1953,1
fangio,1954,6
fangio,1955,4
fangio,1956,3
fangio,1957,4
farina,1950,3
farina,1951,1
farina,1953,1
fisichella,2003,1
fisichella,2005,1
fisichella,2006,1
flaherty,1956,1
frentzen,1997,1
frentzen,1999,2
gasly,2020,1
gethin,1971,1
gilles_villeneuve,1978,1
gilles_villeneuve,1979,3
gilles_villeneuve,1981,2
ginther,1965,1
gonzalez,1951,1
gonzalez,1954,1
gurney,1962,1
gurney,1964,2
gurney,1967,1
hakkinen,1997,1
hakkinen,1998,8
hakkinen,1999,5
hakkinen,2000,4
hakkinen,2001,2
hamilton,2007,4
hamilton,2008,5
hamilton,2009,2
hamilton,2010,3
hamilton,2011,3
hamilton,2012,4
hamilton,2013,1
hamilton,2014,11
hamilton,2015,10
hamilton,2016,10
hamilton,2017,9
hamilton,2018,11
hamilton,2019,11
hamilton,2020,11
hamilton,2021,8
hamilton,2024,2
hanks,1957,1
hawthorn,1953,1
hawthorn,1954,1
hawthorn,1958,1
herbert,1995,2
herbert,1999,1
hill,1962,4
hill,1963,2
hill,1964,2
hill,1965,2
hill,1968,3
hill,1969,1
hulme,1967,2
hulme,1968,2
hulme,1969,1
hulme,1972,1
hulme,1973,1
hulme,1974,1
hunt,1975,1
hunt,1976,6
hunt,1977,3
ickx,1968,1
ickx,1969,2
ickx,1970,3
ickx,1971,1
ickx,1972,1
ireland,1961,1
irvine,1999,4
jabouille,1979,1
jabouille,1980,1
jack_brabham,1959,2
jack_brabham,1960,5
jack_brabham,1966,4
jack_brabham,1967,2
jack_brabham,1970,1
jones,1977,1
jones,1979,4
jones,1980,5
jones,1981,2
keke_rosberg,1982,1
keke_rosberg,1983,1
keke_rosberg,1984,1
keke_rosberg,1985,2
kovalainen,2008,1
kubica,2008,1
laffite,1977,1
laffite,1979,2
laffite,1980,1
laffite,1981,2
lauda,1974,2
lauda,1975,5
lauda,1976,5
lauda,1977,3
lauda,1978,2
lauda,1982,2
lauda,1984,5
lauda,1985,1
leclerc,2019,2
leclerc,2022,3
leclerc,2024,3
maldonado,2012,1
mansell,1985,2
mansell,1986,5
mansell,1987,6
mansell,1989,2
mansell,1990,1
mansell,1991,5
mansell,1992,9
mansell,1994,1
mario_andretti,1971,1
mario_andretti,1976,1
mario_andretti,1977,4
mario_andretti,1978,6
mass,1975,1
massa,2006,2
massa,2007,3
massa,2008,6
max_verstappen,2016,1
max_verstappen,2017,2
max_verstappen,2018,2
max_verstappen,2019,3
max_verstappen,2020,2
max_verstappen,2021,10
max_verstappen,2022,15
max_verstappen,2023,19
max_verstappen,2024,9
mclaren,1959,1
mclaren,1960,1
mclaren,1962,1
mclaren,1968,1
michael_schumacher,1992,1
michael_schumacher,1993,1
michael_schumacher,1994,8
michael_schumacher,1995,9
michael_schumacher,1996,3
michael_schumacher,1997,5
michael_schumacher,1998,6
michael_schumacher,1999,2
michael_schumacher,2000,9
michael_schumacher,2001,9
michael_schumacher,2002,11
michael_schumacher,2003,6
michael_schumacher,2004,13
michael_schumacher,2005,1
michael_schumacher,2006,7
montoya,2001,1
montoya,2003,2
montoya,2004,1
montoya,2005,3
moss,1955,1
moss,1956,2
moss,1957,3
moss,1958,4
moss,1959,2
moss,1960,2
moss,1961,2
musso,1956,1
nannini,1989,1
nilsson,1977,1
norris,2024,4
ocon,2021,1
pace,1975,1
panis,1996,1
parsons,1950,1
patrese,1982,1
patrese,1983,1
patrese,1990,1
patrese,1991,2
patrese,1992,1
perez,2020,1
perez,2021,1
perez,2022,2
perez,2023,2
peterson,1973,4
peterson,1974,3
peterson,1976,1
peterson,1978,2
phil_hill,1960,1
phil_hill,1961,2
piastri,2024,2
piquet,1980,3
piquet,1981,3
piquet,1982,1
piquet,1983,3
piquet,1984,2
piquet,1985,1
piquet,1986,4
piquet,1987,3
piquet,1990,2
piquet,1991,1
pironi,1980,1
pironi,1982,2
prost,1981,3
prost,1982,2
prost,1983,4
prost,1984,7
prost,1985,5
prost,1986,4
prost,1987,3
prost,1988,7
prost,1989,4
prost,1990,5
prost,1993,7
raikkonen,2003,1
raikkonen,2004,1
raikkonen,2005,7
raikkonen,2007,6
raikkonen,2008,2
raikkonen,2009,1
raikkonen,2012,1
raikkonen,2013,1
raikkonen,2018,1
ralf_schumacher,2001,3
ralf_schumacher,2002,1
ralf_schumacher,2003,2
rathmann,1960,1
regazzoni,1970,1
regazzoni,1974,1
regazzoni,1975,1
regazzoni,1976,1
regazzoni,1979,1
reutemann,1974,3
reutemann,1975,1
reutemann,1977,1
reutemann,1978,4
reutemann,1980,1
reutemann,1981,2
revson,1973,2
ricciardo,2014,3
ricciardo,2016,1
ricciardo,2017,1
ricciardo,2018,2
ricciardo,2021,1
rindt,1969,1
rindt,1970,5
rodriguez,1967,1
rodriguez,1970,1
rosberg,2012,1
rosberg,2013,2
rosberg,2014,5
rosberg,2015,6
rosberg,2016,9
russell,2022,1
russell,2024,2
ruttman,1952,1
sainz,2022,1
sainz,2023,1
sainz,2024,2
scarfiotti,1966,1
scheckter,1974,2
scheckter,1975,1
scheckter,1976,1
scheckter,1977,3
scheckter,1979,3
senna,1985,2
senna,1986,2
senna,1987,2
senna,1988,8
senna,1989,6
senna,1990,6
senna,1991,7
senna,1992,3
senna,1993,5
siffert,1968,1
siffert,1971,1
stewart,1965,1
stewart,1966,1
stewart,1968,3
stewart,1969,6
stewart,1970,1
stewart,1971,6
stewart,1972,4
stewart,1973,5
surtees,1963,1
surtees,1964,2
surtees,1966,2
surtees,1967,1
sweikert,1955,1
tambay,1982,1
tambay,1983,1
taruffi,1952,1
trintignant,1955,1
trintignant,1958,1
trips,1961,2
trulli,2004,1
vettel,2008,1
vettel,2009,4
vettel,2010,5
vettel,2011,11
vettel,2012,5
vettel,2013,13
vettel,2015,3
vettel,2017,5
vettel,2018,5
vettel,2019,1
villeneuve,1996,4
villeneuve,1997,7
vukovich,1953,1
vukovich,1954,1
wallard,1951,1
ward,1959,1
watson,1976,1
watson,1981,1
watson,1982,2
watson,1983,1
webber,2009,2
webber,2010,4
webber,2011,1
webber,2012,2
